it took 2.7 hours to brute force the answer
doing ~808 billion operations over 10 seconds

TimeStamp:232193912039894 Diff:806575272562 DC:15
TimeStamp:232999102299542 Diff:805088523570 DC:15
TimeStamp:233808384144953 Diff:809206004620 DC:15
TimeStamp:234615408387954 Diff:806915307544 DC:15
TimeStamp:235415366951617 Diff:799869786347 DC:15
TimeStamp:236228407982312 Diff:812922655932 DC:15
TimeStamp:237036340328500 Diff:807818679058 DC:15
TimeStamp:237851880437395 Diff:815413772685 DC:15
TimeStamp:238668174565698 Diff:816196470010 DC:15
TimeStamp:239486302956819 Diff:818042125384 DC:15
TimeStamp:240298929397881 Diff:812611375795 DC:15
TimeStamp:241116805427299 Diff:817783932178 DC:15
TimeStamp:241936610067520 Diff:819743013681 DC:15
TimeStamp:242755283438229 Diff:818575244838 DC:15
TimeStamp:243574802353434 Diff:819413503411 DC:15
TimeStamp:244376623768283 Diff:801725912343 DC:15
TimeStamp:245195019483002 Diff:818263836087 DC:15
TimeStamp:246011177613419 Diff:816061425310 DC:15
TimeStamp:246824515643289 Diff:813246799873 DC:15
TimeStamp:247638260806185 Diff:813625355349 DC:15
TimeStamp:248454056082852 Diff:815683604857 DC:15
TimeStamp:249268739278134 Diff:814588109870 DC:15
TimeStamp:250088834630469 Diff:819988699476 DC:15
TimeStamp:250904425023231 Diff:815486771347 DC:15
TimeStamp:251722618028463 Diff:818057559665 DC:15
TimeStamp:252529151510490 Diff:806423790512 DC:15
TimeStamp:253347155662290 Diff:817989069104 DC:15
TimeStamp:254156708184278 Diff:809436429222 DC:15
TimeStamp:254971697058978 Diff:814942928250 DC:15
TimeStamp:255776258860739 Diff:804457195908 DC:15
TimeStamp:256588613175011 Diff:812221024492 DC:15
TimeStamp:257407753831033 Diff:818991675935 DC:15
TimeStamp:258228748248717 Diff:820973797374 DC:15
TimeStamp:259048691149589 Diff:819839034850 DC:15
TimeStamp:259867871010644 Diff:819071245330 DC:15
TimeStamp:260684803601681 Diff:816838060949 DC:15
TimeStamp:261502605697281 Diff:817712624730 DC:15
TimeStamp:262313070694731 Diff:810359902383 DC:15
TimeStamp:263128372844888 Diff:815279289319 DC:15
TimeStamp:263944267558808 Diff:815772545645 DC:15
TimeStamp:264761787495726 Diff:817383002674 DC:15
